catch_id,sample_row_id,station_code,start_date,start_time,common_name,fork_length,dead,lifestage,mark_code,weight,count,run,count_reference
983846,34684,Gate 1,8/1/2023,12:21,Sacramento Squawfish,102,No,not provided,n/a,0,1,n/p,0
983847,34684,Gate 1,8/1/2023,12:21,Green Sunfish,56,Yes,not provided,n/a,0,1,n/p,0
983848,34684,Gate 1,8/1/2023,12:21,Sacramento Sucker,72,No,not provided,n/a,0,1,n/p,0
983849,34684,Gate 1,8/1/2023,12:21,Sacramento Sucker,19,No,not provided,n/a,0,1,n/p,0
983850,34684,Gate 1,8/1/2023,12:21,Sacramento Sucker,27,No,not provided,n/a,0,1,n/p,0
983851,34684,Gate 1,8/1/2023,12:21,Sacramento Sucker,22,No,not provided,n/a,0,1,n/p,0
983852,34684,Gate 1,8/1/2023,12:21,Chinook Salmon,96,No,not provided,n/a,0,1,F,0
983853,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,23,No,not provided,n/a,0,1,n/p,0
983854,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,28,No,not provided,n/a,0,1,n/p,0
983855,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,38,No,not provided,n/a,0,1,n/p,0
983856,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,31,No,not provided,n/a,0,1,n/p,0
983857,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,21,No,not provided,n/a,0,1,n/p,0
983858,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,32,Yes,not provided,n/a,0,1,n/p,0
983859,34685,Gate 5,8/1/2023,9:44,Sacramento Sucker,29,No,not provided,n/a,0,1,n/p,0
983860,34685,Gate 5,8/1/2023,9:44,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983861,34685,Gate 5,8/1/2023,9:44,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
983862,34685,Gate 5,8/1/2023,9:44,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983863,34685,Gate 5,8/1/2023,9:44,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
983864,34685,Gate 5,8/1/2023,9:44,Sacramento Squawfish,52,No,not provided,n/a,0,1,n/p,0
983865,34685,Gate 5,8/1/2023,9:44,Sacramento Squawfish,26,No,not provided,n/a,0,1,n/p,0
983866,34685,Gate 5,8/1/2023,9:44,Tule Perch,31,No,not provided,n/a,0,1,n/p,0
983867,34685,Gate 5,8/1/2023,9:44,Hardhead,46,No,not provided,n/a,0,1,n/p,0
983868,34685,Gate 5,8/1/2023,9:44,Rainbow Trout,64,No,RBT - parr,n/a,0,1,n/p,0
983869,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,79,No,not provided,n/a,0,1,F,0
983870,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,80,No,not provided,n/a,0,2,F,0
983871,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,87,No,not provided,n/a,0,1,F,0
983872,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,89,No,not provided,n/a,0,1,F,0
983873,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,90,No,not provided,n/a,0,1,F,0
983874,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,95,No,not provided,n/a,0,3,F,0
983875,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,97,No,not provided,n/a,0,1,F,0
983876,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,100,No,not provided,n/a,0,1,F,0
983877,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,101,No,not provided,n/a,0,1,F,0
983878,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,103,No,not provided,n/a,0,1,F,0
983879,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,108,No,not provided,n/a,0,1,F,0
983880,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,113,No,not provided,n/a,0,1,F,0
983881,34685,Gate 5,8/1/2023,9:44,Chinook Salmon,115,No,not provided,n/a,0,1,F,0
983882,34686,Gate 6,8/1/2023,8:29,Sacramento Sucker,33,No,not provided,n/a,0,1,n/p,0
983883,34686,Gate 6,8/1/2023,8:29,Sacramento Sucker,55,No,not provided,n/a,0,1,n/p,0
983884,34686,Gate 6,8/1/2023,8:29,Sacramento Sucker,23,Yes,not provided,n/a,0,1,n/p,0
983885,34686,Gate 6,8/1/2023,8:29,Sacramento Sucker,27,Yes,not provided,n/a,0,1,n/p,0
