sample_row_id,sample_id,start_date,start_time,station_code,counter,gear_condition,habitat,trap_sample_type,debris_tubs,cone,fish_properly,flow_cfs,weather_code,temperature,turbidity,velocity,river_depth,gear,diel,sampling_weight,location_in_river,volume
34673,211_23,7/29/2023,8:37,Gate 8,61706,n,run,non-intensive,1.6,1,Y,10201.00,CLR,,3.29,3.04,5.5,RSTR5,,1.075,WM,2160795.38
34554,188_23,7/6/2023,8:59,Gate 6,98491,n,run,non-intensive,5,1,Y,9853.00,CLR,,3.85,3.82,6,RSTR8,,0.99375,MC,8518429.97
34665,210_23,7/28/2023,9:05,Gate 5,61703,n,run,non-intensive,1.9,1,Y,10210.00,CLR,,3.27,3.78,4.3,RSTR5,,0.932638889,MC,2515621.92
34666,210_23,7/28/2023,8:03,Gate 6,21634,n,run,non-intensive,4.1,1,Y,10210.00,CLR,,3.23,3.63,5.75,RSTR8,,0.991666667,MC,7646593.98
34667,210_23,7/28/2023,9:53,Gate 7,20612,n,run,non-intensive,1,1,Y,10210.00,CLR,,3.1,3.35,4.8,RSTR5,,0.95625,MC,2283712.38
34668,210_23,7/28/2023,10:32,Gate 8,49350,n,run,non-intensive,1.8,1,Y,10210.00,CLR,,3.18,3.10,5.4,RSTR5,,0.920138889,WM,1889659.28
34669,211_23,7/29/2023,9:06,Gate 1,8775,n,run,non-intensive,3.7,1,Y,10201.00,CLR,,3.7,3.04,99,RSTR5,,1.075694444,EM,2164887.88
34670,211_23,7/29/2023,7:28,Gate 5,79659,n,run,non-intensive,1.6,1,Y,10201.00,CLR,,3.34,3.99,4.4,RSTR5,,1.070833333,MC,3042187.71
34535,184_23,7/2/2023,8:26,Gate 7,81976,n,run,non-intensive,1.4,1,Y,9937.00,CLR,,5.05,3.16,4.5,RSTR5,,1.064583333,MC,2395899.12
34527,183_23,7/1/2023,9:37,Gate 1,76383,n,run,non-intensive,2.1,1,Y,9451.00,CLR,,4.35,2.72,99,RSTR5,,1.009027778,EM,1816941.96
34585,194_23,7/12/2023,9:12,Gate 5,95868,n,run,non-intensive,2,1,Y,10068.00,CLR,,5.62,3.10,4.3,RSTR5,,1.0375,MC,2292851.14
